"Sequence",0,1,2
"1470176_Actinoalloteichus_hoggarensis-Pseudonocardiales",0.39408615,0.51443183,-0.12132096
"340345_Actinoalloteichus_hymeniacidonis-Pseudonocardiales",0.25058138,0.17914951,0.004647255
"227318_Actinocatenispora_thailandica-Micromonosporales",0.2678511,2.5225472,0.89447904
"196914_Actinoplanes_friuliensis-Micromonosporales",0.24253798,3.3232794,0.10699582
"122358_Actinoplanes_ianthinogenes-Micromonosporales",0.3648758,3.2670486,0.034321785
"1866_Actinoplanes_missouriensis-Micromonosporales",0.31254297,3.2096653,-0.08447671
"1867_Actinoplanes_teichomyceticus-Micromonosporales",0.4223168,3.210993,-0.051912308
"414996_Actinopolyspora_erythraea-Actinopolysporales",0.18311912,0.6293658,-0.06963873
"42197_Actinosynnema_pretiosum-Pseudonocardiales",0.15157074,0.34581357,-0.27461672
"2079793_Aeromicrobium_chenweiae-Propionibacteriales",-0.10906124,1.4136145,4.8716683
"2781962_Agromyces_archimandritae-Micrococcales",-1.0654697,4.013753,2.668758
"453304_Agromyces_aureus-Micrococcales",-1.0443392,4.0321536,2.6267912
"2080742_Agromyces_badenianii-Micrococcales",-1.0126902,3.9227023,2.7187395
"1389020_Agromyces_marinus-Micrococcales",-1.3234565,4.3081837,2.510188
"2509455_Agromyces_protaetiae-Micrococcales",-1.1877413,4.1829967,2.4710808
"659012_Agromyces_soli-Micrococcales",-1.0965616,4.024007,2.6109257
"2665642_Allosaccharopolyspora_coralli-Pseudonocardiales",0.61439466,0.8130966,-0.19902158
"715473_Amycolatopsis_acidiphila-Pseudonocardiales",0.21958393,0.9550019,-0.5475986
"2842453_Amycolatopsis_aidingensis-Pseudonocardiales",0.3603518,0.6704869,-0.6230073
"1804986_Amycolatopsis_albispora-Pseudonocardiales",0.07199806,0.9366173,-0.68745327
"1814_Amycolatopsis_methanolica-Pseudonocardiales",-0.029985666,1.0191605,-0.5588076
"31958_Amycolatopsis_orientalis-Pseudonocardiales",0.4421175,0.90109897,-0.67356086
"218821_Amycolatopsis_pretoriensis-Pseudonocardiales",0.34935737,0.9201448,-0.6375871
"700274_Amycolatopsis_roodepoortensis-Pseudonocardiales",0.43695334,0.88142866,-0.652272
"656366_Arthrobacter_alpinus-Micrococcales",-0.059235215,2.949481,3.033744
"2211210_Arthrobacter_dokdonellae-Micrococcales",-0.024415791,3.1176755,3.0149999
"1684_Bifidobacterium_asteroides-Bifidobacteriales",-1.3100393,0.15583497,5.5137744
"138336_Blastococcus_saxobsidens-Geodermatophilales",0.87702656,2.2808428,0.71734285
"2697563_Brevibacterium_atlanticum-Micrococcales",-0.41634536,2.15194,3.6341884
"273384_Brevibacterium_aurantiacum-Micrococcales",-0.40760946,1.9477689,3.4932005
"1703_Brevibacterium_linens-Micrococcales",-0.30140734,2.06664,3.6347013
"358099_Brevibacterium_oceani-Micrococcales",-0.3487264,2.119329,3.654235
"1496080_Brevibacterium_pigmentatum-Micrococcales",-0.36193562,2.1279922,3.5955524
"2729175_Cellulomonas_taurus-Micrococcales",-0.40897787,1.8878642,4.13981
"1619308_Cnuibacter_physcomitrellae-Micrococcales",-0.7560731,4.067479,2.5570016
"38284_Corynebacterium_accolens-Corynebacteriales",-0.22658217,-0.3533808,1.3887479
"1697_Corynebacterium_ammoniagenes-Corynebacteriales",-0.055718303,-0.42807662,1.5754886
"2684406_Corynebacterium_anserum-Corynebacteriales",-0.44334722,-0.38166738,1.3368078
"203263_Corynebacterium_aquilae-Corynebacteriales",-0.19527793,-0.5594977,1.1861397
"42817_Corynebacterium_argentoratense-Corynebacteriales",-0.14398694,-0.46561122,1.17191
"191610_Corynebacterium_atypicum-Corynebacteriales",-0.42643297,-0.38196623,1.156765
"169292_Corynebacterium_aurimucosum-Corynebacteriales",-0.32585156,-0.16670108,1.1941154
"36808_Corynebacterium_bovis-Corynebacteriales",-0.3568014,-0.31266212,1.088869
"1721_Corynebacterium_callunae-Corynebacteriales",0.039910138,-0.4577582,1.3919929
"161896_Corynebacterium_camporealensis-Corynebacteriales",0.023086011,-0.43387294,1.481923
"160386_Corynebacterium_casei-Corynebacteriales",-0.2336247,-0.5114058,1.5785941
"1862358_Corynebacterium_choanae-Corynebacteriales",-0.14271355,-0.5767493,1.215501
"2675218_Corynebacterium_comes-Corynebacteriales",-0.30685234,-0.58301187,1.3463656
"1652495_Corynebacterium_crudilactis-Corynebacteriales",0.018603265,-0.36741674,1.267858
